qst_1164|Dummy first line
qst_id_1|向 {s13} 送 信
qst_id_2|向 {s13} 送 信
qst_id_3|训 练 {reg1}名 {s14}
qst_id_4|护 送 {s13} 前 往 {s14}
qst_id_5|从 四 处 劫 掠 的 强 盗 手 中 解 救 {s15}
qst_id_6|从 {s3} 收 税
qst_id_7|追 捕 {s4}
qst_id_8|刺 杀 {s3} 的 当 地 商 人
qst_id_9|追 回 逃 跑 的 农 奴
qst_id_10|跟 踪 间 谍 至 接 头 地 点
qst_id_11|俘 虏 一 名 来 自 {s13} 的 领 主
qst_id_12|将 同 伴 {s3} 借 给 {s9}
qst_id_13|讨 回 {s3} 拖 欠 {s9} 的 债 款
qst_id_14|诬 陷 {s13} 的 忠 诚 将 领 {s16}
qst_id_15|与 在 {s13} 的 间 谍 碰 头
qst_id_16|带 回 {reg1}名 {s3} 俘 虏
qst_id_17|把 你 的 外 科 医 生 {s3} 借 给 {s1}
qst_id_18|跟 随 {s9} 的 部 队
qst_id_19|向 元 帅 {s13} 报 到
qst_id_20|把 {reg3}头 牛 赶 到 {s13}
qst_id_21|参 加 {s14} 的 围 城 战
qst_id_22|掩 护 {s13} 的 军 队 推 进
qst_id_23|侦 察 {s13}、{s14} 与 {s15}
qst_id_24|从 {s14} 解 救 {s13}
qst_id_25|送 信 给 {s14} 的 {s13}
qst_id_26|向 {s13} 发 起 武 艺 决 斗
qst_id_27|向 {s13} 发 起 武 艺 决 斗（可 选）
qst_id_28|向 {s13} 发 起 武 艺 决 斗
qst_id_29|赶 牛 到 {s13}
qst_id_30|护 送 商 队 去 {s8}
qst_id_31|将 {reg5}份 {s6} 运 送 到 {s4}
qst_id_32|追 剿 为 患 的 强 盗
qst_id_33|从 强 盗 手 中 赎 回 心 腹 仆 从
qst_id_34|确 保 两 个 领 主 不 反 对 和 平
qst_id_35|剿 灭 劫 匪
qst_id_36|剿 灭 夜 袭 强 盗
qst_id_37|为 {s3} 运 送 小 麦
qst_id_38|筹 集 {reg5}头 牛 给 {s3}
qst_id_39|训 练 {s13} 的 农 民 抵 抗 强 盗
qst_id_40|从 强 盗 手 中 解 救 {s7}
qst_id_41|拜 访 女 士
qst_id_42|正 式 求 婚
qst_id_43|正 式 求 婚
qst_id_44|与 你 的 未 婚 伴 侣 成 婚
qst_id_45|与 你 的 未 婚 伴 侣 成 婚
qst_id_46|宣 誓 效 忠 于 {s1}
qst_id_47|帮 助 {s13} 取 得 {s14} 的 王 位
qst_id_48|与 大 臣 商 议
qst_id_49|组 织 宴 会
qst_id_50|解 决 争 端
qst_id_51|置 办 礼 物
qst_id_52|筹 办 礼 物
qst_id_53|暗 中 对 付 领 主
qst_id_54|追 捕 强 盗
qst_id_55|追 捕 煽 动 者
qst_id_56|报 复 边 境 事 件
qst_id_57|袭 击 中 立 商 队，挑 起 战 争
qst_id_58|挑 动 一 个 王 国 攻 打 另 一 个 王 国
qst_id_59|营 救 或 赎 回 一 名 俘 虏
qst_id_60|摧 毁 强 盗 老 巢
qst_id_62|消 灭 混 沌 矮 人 巫 师 泰 格 里 姆
qst_id_62_text|约 瑟 夫·弗 莱 什 派 你 消 灭 巫 师 泰 格 里 姆，并 救 出 他 的 兄 弟。泰 格 里 姆 正 在 奥 比 恩 岛 上 等 候—— 那 座 岛 位 于 末 日 舰 与 大 奥 格 姆 之 间。
qst_id_63|从 谢 瓦 利 耶 爵 士 手 中 营 救 马 尔 德 雷 克 斯
qst_id_63_text|马 尔 德 雷 克 斯 被 谢 瓦 利 耶 爵 士 囚 禁 在 巴 托 尼 亚 海 岸 附 近。救 出 他，然 后 等 待 克 拉 斯·乔 根 森 前 来 接 应。
qst_id_64|矮 人 宝 藏 图
qst_id_64_text|一 名 心 怀 感 激 的 矮 人 商 人 送 给 你 一 张 破 旧 的 藏 宝 图。图 纸 损 毁 严 重，宝 藏 位 置 已 经 难 以 辨 认，但 一 侧 潦 草 写 着 几 行 卡 扎 利 德 语 指 示。^^上 面 写 着：Strol a wyr-thingaz umanar bin Dawi-rik.Drung urk,skrat a gand azgal!
qst_id_65|带 史 基 佐 深 入 地 下 城
qst_id_65_text|史 基 佐 在 地 牢 中 每 多 闯 过 一 个 房 间，都 会 获 得 大 量 经 验。
qst_id_90|加 入 {s13} 的 队 伍 服 役
qst_id_91|入 伍：休 假
qst_id_92|入 伍：被 俘
qst_id_93|任 务 已 结 束
